year,month,rank_ME,rank_IG2,nstocks,ret_vw
1971,3,3,4,95,4.4552
1971,3,3,5,57,5.3362
1971,4,1,1,139,2.5157
1971,4,1,2,81,4.0499
1971,4,1,3,67,3.3142
1971,4,1,4,62,2.9639
1971,4,1,5,139,1.9198
1971,4,2,1,52,9.2223
1971,4,2,2,48,4.0960
1971,4,2,3,34,1.6072
1971,4,2,4,59,4.0653
1971,4,2,5,77,5.2083
1971,4,3,1,67,6.0478
1971,4,3,2,97,4.3763
1971,4,3,3,112,3.3682
1971,4,3,4,95,5.2105
1971,4,3,5,57,4.4294
1971,5,1,1,137,-6.1541
1971,5,1,2,80,-5.2661
1971,5,1,3,66,-6.3926
1971,5,1,4,62,-6.2380
1971,5,1,5,139,-6.5541
1971,5,2,1,52,-1.2913
1971,5,2,2,47,-4.9907
1971,5,2,3,35,-5.0967
1971,5,2,4,59,-6.2749
1971,5,2,5,77,-4.2578
1971,5,3,1,67,-1.9818
1971,5,3,2,97,-3.8257
1971,5,3,3,112,-4.5417
1971,5,3,4,95,-2.7021
1971,5,3,5,57,-3.1171
1971,6,1,1,135,-2.4216
1971,6,1,2,79,-3.2679
1971,6,1,3,66,-1.2008
1971,6,1,4,62,-0.4535
1971,6,1,5,139,-1.8488
1971,6,2,1,52,-0.9469
1971,6,2,2,47,-1.7210
1971,6,2,3,35,-1.2929
1971,6,2,4,59,-1.8399
1971,6,2,5,77,1.1111
1971,6,3,1,66,-1.9058
1971,6,3,2,97,-0.0012
1971,6,3,3,112,1.0074
1971,6,3,4,95,0.3724
1971,6,3,5,57,-1.8621
1971,7,1,1,166,-7.2837
1971,7,1,2,104,-5.0553
1971,7,1,3,81,-3.8102
1971,7,1,4,82,-5.9665
1971,7,1,5,154,-7.6390
1971,7,2,1,67,-5.1673
1971,7,2,2,53,-5.4517
1971,7,2,3,55,-4.2588
1971,7,2,4,41,-4.2750
1971,7,2,5,74,-5.1115
1971,7,3,1,60,-6.6812
1971,7,3,2,87,-2.9673
1971,7,3,3,105,-4.2167
1971,7,3,4,119,-4.6495
1971,7,3,5,91,-4.5134
1971,8,1,1,165,5.4898
1971,8,1,2,104,3.9593
1971,8,1,3,81,4.9652
1971,8,1,4,82,3.7709
1971,8,1,5,154,4.3213
1971,8,2,1,67,5.7814
1971,8,2,2,53,5.5250
1971,8,2,3,55,5.1902
1971,8,2,4,41,3.8041
1971,8,2,5,74,6.4161
1971,8,3,1,60,7.5497
1971,8,3,2,87,1.6151
1971,8,3,3,105,6.5580
1971,8,3,4,119,3.6443
