year,month,rank_ME,rank_dLTI,nstocks,ret_vw
1971,5,2,5,46,-6.0164
1971,5,3,1,41,-2.9637
1971,5,3,2,62,-3.6608
1971,5,3,3,66,-4.1613
1971,5,3,4,58,-3.2260
1971,5,3,5,56,-2.8918
1971,6,1,1,93,-1.5396
1971,6,1,2,56,-2.1885
1971,6,1,3,36,-0.9535
1971,6,1,4,66,-1.3701
1971,6,1,5,83,-4.5416
1971,6,2,1,34,-0.6988
1971,6,2,2,32,-2.3351
1971,6,2,3,25,-2.2877
1971,6,2,4,29,-0.3966
1971,6,2,5,46,-0.4254
1971,6,3,1,41,-2.3589
1971,6,3,2,61,0.9546
1971,6,3,3,66,-2.0253
1971,6,3,4,58,0.7427
1971,6,3,5,56,3.1360
1971,7,1,1,104,-8.1519
1971,7,1,2,70,-6.7813
1971,7,1,3,54,-6.0824
1971,7,1,4,59,-6.7203
1971,7,1,5,99,-8.4600
1971,7,2,1,39,-4.7163
1971,7,2,2,44,-4.6617
1971,7,2,3,37,-4.3653
1971,7,2,4,33,-7.1841
1971,7,2,5,34,-7.0203
1971,7,3,1,60,-2.6166
1971,7,3,2,52,-3.3703
1971,7,3,3,64,-4.7541
1971,7,3,4,69,-3.8808
1971,7,3,5,61,-7.5651
1971,8,1,1,104,5.1266
1971,8,1,2,70,4.1232
1971,8,1,3,54,7.0737
1971,8,1,4,59,6.5671
1971,8,1,5,99,1.0390
1971,8,2,1,39,6.2838
1971,8,2,2,44,5.5566
1971,8,2,3,37,4.6485
1971,8,2,4,33,4.9700
1971,8,2,5,34,3.8735
1971,8,3,1,58,3.8887
1971,8,3,2,52,4.7281
1971,8,3,3,64,4.8782
