year,month,rank_ME,rank_PDA,nstocks,ret_vw
1971,3,3,2,98,3.6871
1971,3,3,3,110,4.1387
1971,3,3,4,104,2.9428
1971,3,3,5,55,5.1600
1971,4,1,1,200,1.3261
1971,4,1,2,78,1.2944
1971,4,1,3,53,2.3100
1971,4,1,4,82,3.2923
1971,4,1,5,179,3.6438
1971,4,2,1,59,3.3936
1971,4,2,2,42,3.9391
1971,4,2,3,53,5.5585
1971,4,2,4,57,5.7623
1971,4,2,5,74,2.8418
1971,4,3,1,66,4.0361
1971,4,3,2,98,5.4920
1971,4,3,3,110,4.1945
1971,4,3,4,104,3.3804
1971,4,3,5,55,6.5313
1971,5,1,1,200,-6.2614
1971,5,1,2,78,-4.5996
1971,5,1,3,53,-5.7340
1971,5,1,4,82,-5.5023
1971,5,1,5,179,-7.2578
1971,5,2,1,59,-4.6032
1971,5,2,2,42,-2.5428
1971,5,2,3,53,-3.9007
1971,5,2,4,57,-4.7550
1971,5,2,5,75,-5.9767
1971,5,3,1,66,-5.1691
1971,5,3,2,98,-3.4182
1971,5,3,3,110,-2.5333
1971,5,3,4,104,-3.3601
1971,5,3,5,55,-3.6756
1971,6,1,1,200,-3.2097
1971,6,1,2,78,-1.1673
1971,6,1,3,53,-1.3667
1971,6,1,4,82,-1.7999
1971,6,1,5,179,-3.3276
1971,6,2,1,59,0.0884
1971,6,2,2,42,-0.0554
1971,6,2,3,53,-0.2843
1971,6,2,4,56,-2.0702
1971,6,2,5,75,-2.5681
1971,6,3,1,66,-1.1941
1971,6,3,2,98,0.4972
1971,6,3,3,110,0.6460
1971,6,3,4,104,1.1674
1971,6,3,5,55,-2.1259
1971,7,1,1,209,-7.0828
1971,7,1,2,108,-7.4209
1971,7,1,3,79,-5.5766
1971,7,1,4,104,-5.0072
1971,7,1,5,190,-7.5007
1971,7,2,1,68,-4.3141
1971,7,2,2,56,-4.0794
1971,7,2,3,59,-3.5568
1971,7,2,4,59,-5.7060
1971,7,2,5,69,-5.7493
1971,7,3,1,66,-4.8671
1971,7,3,2,111,-4.9219
1971,7,3,3,109,-3.0285
1971,7,3,4,108,-3.2331
1971,7,3,5,84,-7.4258
1971,8,1,1,209,3.0368
1971,8,1,2,108,5.9357
1971,8,1,3,79,6.1873
1971,8,1,4,104,4.7317
1971,8,1,5,190,3.4736
1971,8,2,1,68,6.4229
1971,8,2,2,56,3.1031
1971,8,2,3,59,4.0975
1971,8,2,4,59,5.9169
1971,8,2,5,69,5.0999
1971,8,3,1,66,7.5993
1971,8,3,2,111,5.9997
1971,8,3,3,109,1.2324
1971,8,3,4,107,4.4810
